#@string,ra,dec,float,float,float,float,float,float,string,string,float,float,float,string
Name,RA,DEC,K,TYPE,S,err_S,Dist,M(K),P1/4,Spectrum,M_BH,SoI_pc,SoI_arcsec,Done
187,01:33:48.65,30:47:42.6,6.85,-5,25,1,24,-25.04,1.70E+21,x,4.70E+08,34,0.3,FALSE
188,01:33:48.71,30:24:17.0,8.74,-2,0.3,0.5,32,-23.76,<1.4e20,x,1.60E+08,18,0.12,FALSE
189,01:33:49.15,30:49:01.5,8.2,-1,19,1,14,-22.5,4.40E+20,x,5.40E+07,9.6,0.14,FALSE
190,01:33:49.36,30:47:12.5,7.85,-2,9.9,0.9,16,-23.16,3.00E+20,x,9.50E+07,13,0.17,FALSE
191,01:33:49.62,30:34:25.7,8.98,-2,1.2,0.5,14,-21.71,2.70E+19,x,2.80E+07,6.5,0.096,FALSE
192,01:33:50.19,30:34:18.8,8.42,-5,5.6,0.4,31,-24.03,6.40E+20,x,2.00E+08,21,0.14,FALSE
193,01:33:50.27,30:31:11.0,7.91,-2,0.9,0.5,17,-23.23,<6.1e19,x,1.00E+08,14,0.17,FALSE
194,01:33:50.70,30:58:50.3,7.4,-3,6.1,0.5,15,-23.5,1.70E+20,x,1.30E+08,16,0.22,FALSE
195,01:33:50.73,30:44:56.2,8.13,-1,3.4,0.5,13,-22.46,7.00E+19,x,5.30E+07,9.4,0.15,FALSE
196,01:33:50.85,30:28:59.9,8.78,-1.5,2.9,0.5,34,-23.87,4.00E+20,x,1.70E+08,19,0.12,FALSE
197,01:33:50.85,30:38:34.5,7.72,-2,0.9,0.5,20,-23.74,<8.3e19,x,1.60E+08,18,0.19,FALSE
198,01:33:50.90,30:38:55.5,7.26,-5,2.2,1000,32,-25.24,2.60E+24,x,5.60E+08,38,0.25,FALSE
199,01:33:50.90,30:31:44.8,8.34,-3,1.3,0.5,15,-22.61,3.70E+19,x,6.00E+07,10,0.14,FALSE
200,01:33:50.90,30:34:37.0,7.82,-3,0.3,0.5,16,-23.18,<3.6e19,x,9.70E+07,14,0.17,FALSE
201,01:33:51.24,30:34:13.2,7.17,-5,3.9,10,16,-23.86,1.20E+22,x,1.70E+08,19,0.25,FALSE
202,01:33:51.30,30:50:55.8,7.93,-1,0.8,0.5,24,-24.01,<1.2e20,x,2.00E+08,21,0.18,FALSE
203,01:33:51.31,30:34:37.0,8.4,-5,0.5,0.5,26,-23.69,<1.1e20,x,1.50E+08,17,0.14,FALSE
204,01:33:51.80,30:31:47.2,8.47,-1,0.3,0.5,23,-23.34,<7.6e19,x,1.10E+08,15,0.13,FALSE
